id;name;start_time;end_time;discount_rate;max_quantity
1;independence sans subsidy;2025-01-21T22:22:36;2025-01-22T01:01:02;0.34;3171
2;trim;2025-01-21T08:51:12;2025-01-22T00:04:58;0.35;15104
3;gosh bliss;2025-01-21T11:07:43;2025-01-21T21:06:13;0.02;21610
4;enchanted fledgling;2025-01-21T12:10:34;2025-01-21T21:27:34;0.21;5207
5;overstay once while;2025-01-21T12:20:04;2025-01-21T09:10:18;0.52;22498
6;whether;2025-01-21T10:37:32;2025-01-21T04:46:13;0.2;3930
7;ouch besides hexagon;2025-01-21T04:38:31;2025-01-21T20:02:47;0.12;28717
8;readily;2025-01-21T14:28:09;2025-01-21T19:09:10;0.31;27354
9;loosely forecast ouch;2025-01-22T01:32:15;2025-01-21T04:41:58;0.25;25213
10;even mmm ride;2025-01-22T00:02:56;2025-01-21T05:31:32;0.33;5856
